몇월몇주차,일자,거래시각,여정ID,여행ID,동선명,추정출발지,추정도착지,입구,출구,통행료,원본번호,비고
5월 1주차,2025-05-06,07:04:10,J01,,출퇴근(아침),집(천안 두정),회사(대전 중구),-,서천안,2500,16,후불카드 전자카드 정상
5월 1주차,2025-05-06,07:28:33,J01,,출퇴근(아침),집(천안 두정),회사(대전 중구),신탄진,남대전,3200,15,후불카드 전자카드 정상
5월 1주차,2025-05-06,18:24:11,J02,,출퇴근(저녁),회사(대전 중구),집(천안 두정),-,서천안,2600,14,후불카드 전자카드 정상
5월 1주차,2025-05-06,18:47:52,J02,,출퇴근(저녁),회사(대전 중구),집(천안 두정),남대전,신탄진,2900,13,후불카드 전자카드 정상
5월 1주차,2025-05-07,07:03:48,J03,,출퇴근(아침),집(천안 두정),회사(대전 중구),-,서천안,2500,12,후불카드 전자카드 정상
5월 1주차,2025-05-07,07:27:10,J03,,출퇴근(아침),집(천안 두정),회사(대전 중구),신탄진,남대전,3200,11,후불카드 전자카드 정상
5월 1주차,2025-05-07,18:22:40,J04,,출퇴근(저녁),회사(대전 중구),집(천안 두정),-,서천안,2600,10,후불카드 전자카드 정상
5월 1주차,2025-05-07,18:46:31,J04,,출퇴근(저녁),회사(대전 중구),집(천안 두정),남대전,신탄진,2900,9,후불카드 전자카드 정상
5월 2주차,2025-05-10,10:02:48,J05,TRIP-전주,주말 본가 방문,집(천안 두정),본가(전주 완산),북익산,서전주,6800,8,후불카드 전자카드 정상
5월 2주차,2025-05-11,17:05:52,J06,TRIP-전주,주말 본가 방문,본가(전주 완산),집(천안 두정),서전주,북익산,7100,7,후불카드 전자카드 할증
5월 2주차,2025-05-12,07:02:17,J07,,출퇴근(아침),집(천안 두정),회사(대전 중구),-,서천안,2500,6,후불카드 전자카드 정상
5월 2주차,2025-05-12,07:26:05,J07,,출퇴근(아침),집(천안 두정),회사(대전 중구),신탄진,남대전,3200,5,후불카드 전자카드 정상
5월 2주차,2025-05-12,18:21:55,J08,,출퇴근(저녁),회사(대전 중구),집(천안 두정),-,서천안,2600,4,후불카드 전자카드 정상
5월 2주차,2025-05-12,18:45:47,J08,,출퇴근(저녁),회사(대전 중구),집(천안 두정),남대전,신탄진,2900,3,후불카드 전자카드 정상
5월 2주차,2025-05-13,07:05:02,J09,,출퇴근(아침),집(천안 두정),회사(대전 중구),-,서천안,2500,2,후불카드 전자카드 정상
5월 2주차,2025-05-13,07:28:09,J09,,출퇴근(아침),집(천안 두정),회사(대전 중구),신탄진,남대전,3200,1,후불카드 전자카드 정상
